id,ADDRESS_IN,MATCH_INDICATOR,MATCH_TYPE,ADDRESS_OUT,LONG_LAT,TIGER_EDGE,STREET_SIDE,FIPS_STATE,FIPS_COUNTY,CENSUS_TRACT,CENSUS_BLOCK
40,"7840 Burma Rd,  Jacksonville, FL, 32221-6198",Match,Non_Exact,"7840 BURMA RD, JACKSONVILLE, FL, 32221","-81.77970015999477,30.30890501147678",83932271.0,L,12.0,31.0,12000.0,3021.0
41,"7000 Powers Ave,  Jacksonville, FL, 32217-3398",Match,Non_Exact,"7000 POWERS AVE, JACKSONVILLE, FL, 32217","-81.6128897456345,30.24882526807272",610518975.0,L,12.0,31.0,16606.0,1000.0
42,"5270 Connie Jean Rd,  Jacksonville, FL, 32210",Match,Exact,"5270 CONNIE JEAN RD, JACKSONVILLE, FL, 32210","-81.82359824463339,30.24862985533622",83973566.0,R,12.0,31.0,13732.0,2005.0
43,"291 Mill St W,  Baldwin, FL, 32234-1307",Match,Non_Exact,"291 MILL ST W, BALDWIN, FL, 32234","-81.97915947150716,30.303703106983676",83931080.0,R,12.0,31.0,17300.0,4025.0
44,"1701 N Davis St,  Jacksonville, FL, 32209-6518",Match,Non_Exact,"1701 N DAVIS ST, JACKSONVILLE, FL, 32209","-81.66698879647993,30.34540633750379",83896223.0,R,12.0,31.0,1600.0,1010.0
45,"1137 Cleveland St,  Jacksonville, FL, 32209-6414",Match,Non_Exact,"1137 CLEVELAND ST, JACKSONVILLE, FL, 32209","-81.67089817056313,30.33892643555083",83896162.0,R,12.0,31.0,1600.0,2025.0
46,"9775 Ivey Rd,  Jacksonville, FL, 32246-3419",Match,Non_Exact,"9775 IVEY RD, JACKSONVILLE, FL, 32246","-81.55544752656414,30.300261540000122",83968693.0,L,12.0,31.0,14500.0,3001.0
47,"9353 Staples Mill Dr,  Jacksonville, FL, 32244-6318",No_Match,,,,,,,,,
48,"8085 Old Middleburg Rd S,  Jacksonville, FL, 32222-1819",Match,Non_Exact,"8085 OLD MIDDLEBURG RD S, JACKSONVILLE, FL, 32222","-81.82254357543877,30.198600205488617",650051607.0,L,12.0,31.0,13728.0,2003.0
49,"801 18th Ave N,  Jacksonville Beach, FL, 32250-4898",Match,Non_Exact,"801 18TH AVE N, JACKSONVILLE BEACH, FL, 32250","-81.400409948647,30.305085804488613",83923040.0,R,12.0,31.0,14103.0,1000.0
150,"7565 Beach Blvd,  Jacksonville, FL, 32216-3003",Match,Non_Exact,"7565 BEACH BLVD, JACKSONVILLE, FL, 32216","-81.58098000890084,30.28886400079756",83968050.0,L,12.0,31.0,15804.0,2007.0
151,"7510 Baymeadows Way,  Jacksonville, FL, 32256-6818",Match,Non_Exact,"7510 BAY MEADOWS CIR, JACKSONVILLE, FL, 32256","-81.56356688915366,30.23527038955143",83967064.0,R,12.0,31.0,15926.0,2006.0
152,"6400 Atlantic Blvd,  Jacksonville, FL, 32211-8768",Match,Non_Exact,"6400 ATLANTIC BLVD, JACKSONVILLE, FL, 32211","-81.59321191154578,30.312529006025727",83903610.0,R,12.0,31.0,15804.0,1001.0
153,"5209 Shad Rd,  Jacksonville, FL, 32257-2005",Match,Non_Exact,"5209 SHAD RD, JACKSONVILLE, FL, 32257","-81.58143965274144,30.192058372582323",83966328.0,L,12.0,31.0,16730.0,2005.0
154,"4131 Sunbeam Rd,  Jacksonville, FL, 32257",Match,Exact,"4131 SUNBEAM RD, JACKSONVILLE, FL, 32257","-81.60903738820724,30.20586879695651",83966300.0,L,12.0,31.0,16724.0,2000.0
155,"4072 Sunbeam Rd,  Jacksonville, FL, 32257",Match,Exact,"4072 SUNBEAM RD, JACKSONVILLE, FL, 32257","-81.61036366878682,30.205738249396916",83966298.0,R,12.0,31.0,16731.0,2002.0
156,"2865 Mayport Rd,  Atlantic Beach, FL, 32233-6630",Match,Non_Exact,"2865 MAYPORT RD, ATLANTIC BEACH, FL, 32233","-81.4109797693614,30.368364556101994",83971245.0,R,12.0,31.0,13906.0,3002.0
157,"2360 St Johns Bluff Rd S,  Jacksonville, FL, 32246",Match,Exact,"2360 SAINT JOHNS BLUFF RD S, JACKSONVILLE, FL, 32246","-81.5260445530314,30.307132223095095",629626209.0,R,12.0,31.0,14311.0,3000.0
158,"2043 Forest St,  Jacksonville, FL, 32204",Match,Exact,"2043 FOREST ST, JACKSONVILLE, FL, 32204","-81.68467657342495,30.32506861037723",83896439.0,R,12.0,31.0,2600.0,1053.0
159,"2002 San Pablo Road South,  Jacksonville, FL, 32224",Match,Non_Exact,"2002 SAN PABLO RD, JACKSONVILLE, FL, 32224","-81.44843368610321,30.315174590914125",629624422.0,L,12.0,31.0,14342.0,2002.0
50,"8000 Point Meadows Dr,  Jacksonville, FL, 32256-7011",Match,Non_Exact,"8000 POINT MEADOWS DR, JACKSONVILLE, FL, 32256","-81.51803899753287,30.232447707687186",625020562.0,R,12.0,31.0,14417.0,1009.0
51,"7750 Tempest St S,  Jacksonville, FL, 32244-1440",Match,Non_Exact,"7750 S TEMPEST ST, JACKSONVILLE, FL, 32244","-81.77657257515807,30.241835968706425",83966838.0,L,12.0,31.0,13504.0,1010.0
52,"7126 Civic Club Dr,  Jacksonville, FL, 32219-2004",Match,Non_Exact,"7126 CIVIC CLUB DR, JACKSONVILLE, FL, 32219","-81.76700990286554,30.426074275176404",83886247.0,L,12.0,31.0,10502.0,2031.0
53,"700 Orange Ave,  Baldwin, FL, 32234-1000",Match,Non_Exact,"700 ORANGE AVE, BALDWIN, FL, 32234","-81.98037299368173,30.308224431078884",83884764.0,L,12.0,31.0,17300.0,4002.0
54,"6736 Beach Blvd,  Jacksonville, FL, 32216-2881",Match,Non_Exact,"6736 BEACH BLVD, JACKSONVILLE, FL, 32216","-81.59079036744754,30.28996566568827",83968026.0,R,12.0,31.0,15924.0,1005.0
55,"6534 Ish Brant Rd,  Jacksonville, FL, 32210-7051",Match,Non_Exact,"6534 ISH BRANT RD, JACKSONVILLE, FL, 32210","-81.7508234762928,30.25910696392208",83967269.0,L,12.0,31.0,12900.0,2006.0
56,"6343 Knights Ln N,  Jacksonville, FL, 32216-5699",Match,Non_Exact,"6343 KNIGHTS LN N, JACKSONVILLE, FL, 32216","-81.59823559267727,30.27357518712256",83968036.0,L,12.0,31.0,16001.0,2007.0
